"id","timestamp","location","gender","age","education","wellness_routine","challenge_wellness_routine","frequency_wellness_routine","duration_wellness_routine","purpose_wellness_routine","location_wellness_routine","simple_target_exercises","nutrition_importance","challenge_nutrition_routine","remote_training_likelihood","online_service_challenges","willingness_to_pay","ideal_subscription_cycle","price_of_service","expertise_credibility","language_instructions","flexibility_time_slots","availability_hybrid_options"
66,2022-11-09 08:26:04.601,"thane","Female","18-24","College","Meditation/Mindfulness practice","Don't know where and how to start, Lack of motivation / time","Occasionally / Rarely","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",1,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Very Important","Important","Important","Important"
67,2022-11-09 09:07:16.917,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time","4 to 5 days a week","More than 60","General fitness/strength/flexibility/stamina","Gym / Studio",3,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Important","Very Important","Important","Important","Important"
68,2022-11-09 09:24:08.671,"mumbai","Male","18-24","High school","Yoga & breathing exercises","Want a personal trainer but can't afford","4 to 5 days a week","46-60","Stress/anxiety reduction and/or attain mindfulness","Gym / Studio",5,4,"Lack of understanding what to eat when and in what proportion","I am interested to try out","I don't want to invest in buying any accessories at home","Not more than Rs. 500","Annual subscription with price discount benefits","Very Important","Very Important","Very Important","Important","Very Important"
69,2022-11-09 09:43:39.37,"mumbai","Female","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Occasionally / Rarely","Less than 15","Weight loss/gain","Home - without equipment",3,5,"Lack of understanding what to eat when and in what proportion","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Important","Important","Important","Important"
70,2022-11-09 09:47:34.116,"mumbai","Female","25-34","Post-Graduate","I don't follow any wellness/fitness routine","Can't find a good trainer/expert practitioner","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - with equipment",3,2,"Can't cook at home","I am interested to try out","I don't want to invest in buying any accessories at home","Rs. 500 - 1000","Weekly subscription at a price slightly higher than monthly subscription","Very Important","Very Important","Important","Important","Important"
71,2022-11-09 10:36:22.642,"mumbai","Female","18-24","High school","Meditation/Mindfulness practice","Don't know where and how to start","4 to 5 days a week","31-45","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",3,3,"Temptation for junk food","I may try only if I find something very interesting","I don’t think online training is effective","Rs. 500 - 1000","Annual subscription with price discount benefits","Important","Important","Important","Important","Important"
72,2022-11-09 12:34:20.478,"mumbai","Female","18-24","Undergraduate","Meditation/Mindfulness practice","Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","Weight loss/gain","Gym / Studio",5,5,"Temptation for junk food","I have already tried","I don’t think online training is effective","Rs. 500 - 1000","Annual subscription with price discount benefits","Neutral","Neutral","Neutral","Neutral","Neutral"
73,2022-11-09 13:01:49.911,"mumbai","Male","More than 55","Undergraduate","Swimming & cycling","I follow a regular wellness/fitness routine","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Outdoor",5,4,"I follow a balanced diet routine","I am not interested to try","Currently outdoor preferred","Not more than Rs. 500","Not interested - so far outdoor is working fine","Not so important","Not so important","Not so important","Not so important","Not so important"
74,2022-11-09 13:02:56.343,"mumbai","Male","45-54","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start","4 to 5 days a week","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",5,5,"I follow a balanced diet routine","I am not interested to try","I don’t think online training is effective","Not more than Rs. 500","No","Neutral","Neutral","Not so important","Neutral","Not so important"
75,2022-11-09 13:34:26.673,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Lack of time is all","Occasionally / Rarely","15-30","Weight loss/gain","Home - without equipment",5,3,"Temptation for junk food","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Neutral","Not so important","Very Important","Important"
76,2022-11-09 13:39:58.754,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby","Occasionally / Rarely","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Very Important","Not so important","Important","Important"
77,2022-11-09 13:40:42.251,"mumbai","Male","35-44","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","Daily","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",4,3,"Find it too difficult to follow a routine","I am interested to try out","I don't want to invest in buying any accessories at home","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Very Important","Very Important","Very Important","Very Important"
78,2022-11-09 13:41:34.237,"mumbai","Female","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I am interested to try out","I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Very Important","Very Important","Not important at all","Neutral","Neutral"
79,2022-11-09 13:42:57.99,"kolhapur","Female","35-44","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time","4 to 5 days a week","46-60","Weight loss/gain","Walking outdoor",4,5,"Find it too difficult to follow a routine","I may try only if I find something very interesting","Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Important","Very Important","Important","Very Important","Important"
80,2022-11-09 13:47:44.853,"mumbai","Male","45-54","Post-Graduate","Walking & Stretching excercise","I follow a regular wellness/fitness routine","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Garden",5,5,"I follow a balanced diet routine","I am not interested to try","Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Annual subscription with price discount benefits","Not so important","Not so important","Not so important","Not so important","Not important at all"
81,2022-11-09 14:10:16.883,"ketan mehta","Male","More than 55","Undergraduate","Walking for an hour","Walking an hour","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Walking track",1,3,"I follow a balanced diet routine","I may try only if I find something very interesting","For me walking is better","Not more than Rs. 500","Annual subscription with price discount benefits","Not so important","Not so important","Not so important","Not so important","Not so important"
82,2022-11-09 14:52:25.919,"mumbai","Male","18-24","Undergraduate","Yoga & breathing exercises","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time","Daily","46-60","General fitness/strength/flexibility/stamina","Home - with equipment",3,5,"Lack of understanding what to eat when and in what proportion","I am interested to try out","Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Annual subscription with price discount benefits","Not important at all","Very Important","Very Important","Very Important","Very Important"
83,2022-11-09 15:07:16.757,"thane","Female","18-24","Undergraduate","Yoga & breathing exercises","Lack of motivation / time","4 to 5 days a week","31-45","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",3,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Very Important","Very Important","Not so important","Not important at all","Important"
84,2022-11-09 15:14:30.246,"mumbai","Male","35-44","Post-Graduate","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","walk swimming",1,3,"Temptation for junk food","I may try only if I find something very interesting","I don’t think online training is effective, I don't want to invest in buying any accessories at home","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all"
85,2022-11-09 15:32:13.735,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - with equipment",4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, I follow a balanced diet routine","I am interested to try out","I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Neutral","Very Important","Very Important","Very Important","Very Important"
86,2022-11-09 15:34:02.403,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time","Daily","More than 60","Body building","Gym / Studio",5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine","I may try only if I find something very interesting","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Weekly subscription at a price slightly higher than monthly subscription","Very Important","Very Important","Very Important","Important","Neutral"
87,2022-11-09 15:36:55.895,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time","Daily","More than 60","General fitness/strength/flexibility/stamina","Gym / Studio",5,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 2500-5000","Weekly subscription at a price slightly higher than monthly subscription","Important","Important","Important","Neutral","Not important at all"
88,2022-11-09 15:38:16.645,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription","4 to 5 days a week","31-45","Body building","Gym / Studio",5,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Rs. 2500-5000","Annual subscription with price discount benefits","Neutral","Important","Very Important","Important","Very Important"
89,2022-11-09 15:39:10.557,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine","Daily","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Important","Important","Very Important","Very Important","Very Important"
90,2022-11-09 15:40:29.51,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine","Daily","31-45","Body building","Gym / Studio",4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","More than Rs. 5000","Annual subscription with price discount benefits","Important","Important","Important","Neutral","Very Important"
91,2022-11-09 15:41:37.545,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Gym / Studio",4,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine","I am interested to try out","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","More than Rs. 5000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Important","Important","Important","Important"
92,2022-11-09 15:43:43.188,"mumbai","Female","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time","Daily","Less than 15","General fitness/strength/flexibility/stamina","Gym / Studio",4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","More than Rs. 5000","Monthly subscription at a price slightly higher than annual subscription","Neutral","Important","Very Important","Very Important","Very Important"
93,2022-11-09 15:45:01.687,"mumbai","Female","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time","Daily","46-60","Stress/anxiety reduction and/or attain mindfulness","Gym / Studio",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Very Important","Very Important","Very Important","Very Important","Very Important"
94,2022-11-09 15:46:54.011,"mumbai","Female","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","Weight loss/gain","Gym / Studio",4,3,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Annual subscription with price discount benefits","Important","Important","Not so important","Very Important","Neutral"
95,2022-11-09 15:48:52.932,"mumbai","Male","18-24","Undergraduate","Yoga & breathing exercises","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine","Daily","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine","I am not interested to try","I don't want to invest in buying any accessories at home","Rs. 1000-2500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Important","Very Important","Important","Very Important"
96,2022-11-09 15:49:58.905,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription","Daily","46-60","General fitness/strength/flexibility/stamina","Home - without equipment",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food","I may try only if I find something very interesting","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 2500-5000","Monthly subscription at a price slightly higher than annual subscription","Important","Important","Very Important","Important","Neutral"
97,2022-11-09 15:50:47.068,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",4,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Neutral","Important","Very Important","Not so important"
98,2022-11-09 15:52:05.251,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time","Daily","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Weekly subscription at a price slightly higher than monthly subscription","Important","Important","Important","Important","Important"
99,2022-11-09 16:09:30.904,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","Less than 15","Body building","Gym / Studio",1,1,"Lack of understanding what to eat when and in what proportion","I have already tried","I don’t think online training is effective","Not more than Rs. 500","Annual subscription with price discount benefits","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all"
100,2022-11-09 16:15:51.933,"kolhapur","Female","45-54","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","I follow a regular wellness/fitness routine","Once/twice a week (e.g. weekends)","31-45","General fitness/strength/flexibility/stamina","park",4,4,"Can't cook at home","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Neutral","Neutral","Neutral","Neutral"
101,2022-11-09 16:18:53.135,"pune","Male","25-34","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford","Daily","31-45","Weight loss/gain","Hybrid - Gym and at Home",5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food","I may try only if I find something very interesting","I don't have access to right kind of space to practice regularly","Rs. 500 - 1000","Annual subscription with price discount benefits","Not so important","Very Important","Not important at all","Not so important","Neutral"
102,2022-11-09 16:30:00.176,"mumbai","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Gym / Studio",4,5,"Temptation for junk food, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Important","Important","Not so important","Important","Very Important"
103,2022-11-09 16:58:07.694,"mumbai","Male","35-44","Post-Graduate","Yoga & breathing exercises","Don't know where and how to start","Occasionally / Rarely","15-30","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",1,3,"Lack of understanding what to eat when and in what proportion","I have already tried","I don’t think online training is effective","More than Rs. 5000","Annual subscription with price discount benefits","Important","Very Important","Important","Very Important","Important"
104,2022-11-09 17:18:30.015,"mumbai","Male","18-24","High school","I don't follow any wellness/fitness routine","I follow a regular wellness/fitness routine","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",3,3,"Temptation for junk food","I am interested to try out","I don't want to invest in buying any accessories at home","More than Rs. 5000","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Not important at all","Not so important","Not so important","Not important at all","Not so important"
105,2022-11-09 17:36:50.006,"mumbai","Female","18-24","High school","Physical Exercise + Yoga","Don't know where and how to start","Occasionally / Rarely","46-60","Weight loss/gain","Gym / Studio",3,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Not so important","Not important at all","Neutral","Neutral"
106,2022-11-09 18:01:53.737,"mumbai","Male","More than 55","High school","Yoga & breathing exercises","I follow a regular wellness/fitness routine","4 to 5 days a week","Less than 15","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",2,1,"Find it too difficult to follow a routine","I am not interested to try","I don’t think online training is effective","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Not important at all","Important","Not so important","Not important at all"
107,2022-11-09 18:02:12.637,"mumbai","Male","35-44","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","I don't have access to right kind of space to practice regularly","Rs. 1000-2500","Half yearly","Important","Important","Important","Important","Neutral"
108,2022-11-09 18:06:25.319,"nanded","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription","Once/twice a week (e.g. weekends)","15-30","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",2,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I am not interested to try","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Not more than Rs. 500","Weekly subscription at a price slightly higher than monthly subscription","Neutral","Not so important","Not so important","Not important at all","Not so important"
109,2022-11-09 18:17:03.817,"palghar","Female","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time","Once/twice a week (e.g. weekends)","Less than 15","Weight loss/gain","Home - without equipment",2,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Important","Important","Important","Important"
110,2022-11-09 18:28:51.713,"mumbai","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",1,3,"Lack of understanding what to eat when and in what proportion","I am interested to try out","I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Very Important","Neutral","Important","Not important at all"
111,2022-11-09 18:41:38.797,"mumbai","Male","18-24","High school","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Lack of motivation / time","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Hybrid - Gym and at Home",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Important","Important","Neutral","Neutral","Neutral"
112,2022-11-09 19:17:15.832,"mumbai","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",4,5,"My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Annual subscription with price discount benefits","Very Important","Very Important","Important","Very Important","Very Important"
113,2022-11-09 19:22:56.453,"thane","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford","4 to 5 days a week","31-45","Body building","Gym / Studio",3,3,"Lack of understanding what to eat when and in what proportion","I have already tried","I don’t think online training is effective","Not more than Rs. 500","Annual subscription with price discount benefits","Neutral","Neutral","Neutral","Neutral","Neutral"
114,2022-11-09 20:19:03.434,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Gym / Studio",4,3,"Can't cook at home","I am interested to try out","I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Weekly subscription at a price slightly higher than monthly subscription","Important","Not so important","Not so important","Not important at all","Neutral"
115,2022-11-09 21:10:00.932,"mumbai","Male","18-24","Undergraduate","Yoga & breathing exercises","I follow a regular wellness/fitness routine","4 to 5 days a week","31-45","Body building","Hybrid - Gym and at Home",4,3,"I follow a balanced diet routine","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Annual subscription with price discount benefits","Not so important","Not important at all","Not important at all","Not so important","Not important at all"
116,2022-11-09 21:18:19.672,"kalyan","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Can't afford to spend on gym/classes subscription","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,4,"My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Important","Important","Very Important","Important"
